19.02.2021 17:57 (Helpers) | Lines: count: 0
19.02.2021 17:57 (Helpers) | Lines CreateBuffer failed ! 
19.02.2021 17:57 (Init) | lines failed !
19.02.2021 17:57 (Console) | Created !!! 
19.02.2021 17:58 (Init) | Executable Started !
19.02.2021 17:58 (RSCF_Parse_Enviroment) | env_header: total_meshes: 4795 total_indexes: 1252080 total_vertexes: 595510
19.02.2021 17:58 (Materials) | MARE Header: 276 materials in file
19.02.2021 17:58 (Materials) | Not found match with texture hash c626aa17 and material hash 3d13f4b5 
19.02.2021 17:58 (Materials) | Not found match with texture hash 0 and material hash 5c13d641 
19.02.2021 17:58 (Materials) | Not found match with texture hash 0 and material hash 88f6bd5e 
19.02.2021 17:58 (Materials) | Not found match with texture hash 0 and material hash f395b551 
19.02.2021 17:58 (Materials) | Not found match with texture hash b3e2ea0 and material hash 5a586dbd 
19.02.2021 17:58 (EMOD) | E:\Aliens vs Predator\Envs\Jungle\Jungle\EMOD_chunk\595.EMOD
19.02.2021 17:58 (EMOD_Parse) | Opening file Error: 183
19.02.2021 17:58 (Init) | Read EMOD failed 
19.02.2021 17:58 (Helpers) | Bbox: count: 1
19.02.2021 17:58 (Helpers) | Lines: count: 0
19.02.2021 17:58 (Helpers) | Lines CreateBuffer failed ! 
19.02.2021 17:58 (Init) | lines failed !
19.02.2021 17:58 (Console) | Created !!! 
19.02.2021 18:03 (Init) | Executable Started !
19.02.2021 18:03 (RSCF_Parse_Enviroment) | env_header: total_meshes: 4795 total_indexes: 1252080 total_vertexes: 595510
19.02.2021 18:03 (Materials) | MARE Header: 276 materials in file
19.02.2021 18:03 (Materials) | Not found match with texture hash c626aa17 and material hash 3d13f4b5 
19.02.2021 18:03 (Materials) | Not found match with texture hash 0 and material hash 5c13d641 
19.02.2021 18:03 (Materials) | Not found match with texture hash 0 and material hash 88f6bd5e 
19.02.2021 18:03 (Materials) | Not found match with texture hash 0 and material hash f395b551 
19.02.2021 18:03 (Materials) | Not found match with texture hash 252b318 and material hash 17defc43 
19.02.2021 18:03 (EMOD) | E:\Aliens vs Predator\Envs\Jungle\Jungle\EMOD_chunk\595.EMOD
19.02.2021 18:03 (EMOD_Parse) | Opening file Error: BAD_HEADER (HEADER: 00000548 Type 25964 BytesReaden: 20)
19.02.2021 18:03 (Init) | Read EMOD failed 
19.02.2021 18:03 (Helpers) | Bbox: count: 1
19.02.2021 18:03 (Helpers) | Lines: count: 0
19.02.2021 18:03 (Helpers) | Lines CreateBuffer failed ! 
19.02.2021 18:03 (Init) | lines failed !
19.02.2021 18:03 (Console) | Created !!! 
19.02.2021 18:04 (Init) | Executable Started !
19.02.2021 18:04 (RSCF_Parse_Enviroment) | env_header: total_meshes: 4407 total_indexes: 1425000 total_vertexes: 658089
19.02.2021 18:04 (Materials) | MARE Header: 362 materials in file
19.02.2021 18:04 (Materials) | Not found match with texture hash 0 and material hash f21aa1ec 
19.02.2021 18:04 (Materials) | Not found match with texture hash e6730b9a and material hash 50c817eb 
19.02.2021 18:04 (Materials) | Not found match with texture hash 0 and material hash 5c13d641 
19.02.2021 18:04 (Materials) | Not found match with texture hash dafe70e1 and material hash 11971870 
19.02.2021 18:04 (Materials) | Not found match with texture hash 17f3c765 and material hash 2db08136 
19.02.2021 18:04 (Materials) | Not found match with texture hash efc02f89 and material hash 2eaeec 
19.02.2021 18:04 (Materials) | Not found match with texture hash c78b24c3 and material hash 6965a512 
19.02.2021 18:04 (Materials) | Not found match with texture hash d4d4e0bb and material hash 4ca273d1 
19.02.2021 18:04 (Materials) | Not found match with texture hash f3151dfa and material hash da9ab8c8 
19.02.2021 18:04 (Materials) | Not found match with texture hash 850876a1 and material hash 34f363f2 
19.02.2021 18:04 (Materials) | Not found match with texture hash efc02f89 and material hash 222e2df3 
19.02.2021 18:04 (Materials) | Not found match with texture hash db0a5cb4 and material hash f526abf2 
19.02.2021 18:04 (Materials) | Not found match with texture hash 0 and material hash 585a54d5 
19.02.2021 18:04 (Materials) | Not found match with texture hash 0 and material hash b2f045fd 
19.02.2021 18:04 (Materials) | Not found match with texture hash bffbfd8 and material hash ccdf12d2 
19.02.2021 18:04 (EMOD) | E:\Aliens vs Predator\Envs\Lab\Lab\EMOD_chunk\723.EMOD
19.02.2021 18:04 (EMOD) | Package name: ãˇUãÏ]Îêêêêêˇ%<
3uêêêêêãˇUãÏQQÉ}
19.02.2021 18:04 (EMOD) | name: alien_statue_big_mossy pos: 93.745697 1.535388 184.206100 flags: 4 
19.02.2021 18:04 (EMOD) | name: anti_pred_posts pos: 5.976249 6.999976 132.017120 flags: 4 
19.02.2021 18:04 (EMOD) | name: arge_window_maintenanceroom_055 pos: 18.068129 24.686613 117.918732 flags: 4 
19.02.2021 18:04 (EMOD) | name: barrier_railing_04 pos: -5.120742 22.637455 102.244263 flags: 4 
19.02.2021 18:04 (EMOD) | name: barrier_railing_05 pos: -5.120742 22.637455 98.244560 flags: 4 
19.02.2021 18:04 (EMOD) | name: barrier_railing_07 pos: 5.120748 22.637455 98.244560 flags: 4 
